Круг Луга сталь 125*1,2*22/50*;11;
Круг Луга сталь 125*1,6*22;11,5;
Круг Луга сталь 125*2,5*22 /25*;13,5;
Круг Луга сталь 150*1,2*22;14;
Круг Луга сталь 150*1,6*22;14,5;
Круг Луга сталь 150*2,5*22 /25*;17;
Круг Луга сталь 180*1,6*22,2;19,5;
Круг Луга сталь 180*2,5*22 /25*;22;
Круг Луга сталь 200*2,5*22 /25*;26,5;
Круг Луга сталь 230*1,6*22;27;
Круг Луга сталь 230*2,5*22 /25*;29;
Круг Луга сталь 300*3,0*32;55;
Круг отрезной Ермак 115*2,5*22;9,5;
Круг отрезной Ермак 230*2,5*22;28,5;
Круг шлифовальный 125х20х32 (Луга);81,5;
Круг шлифовальный 150х20х32 (Луга);104,5;
Круг шлифовальный 175х20х32 (Луга);130;
Круг шлифовальный 200х20х32 (Луга);160;
Чашка конусная 150*50*32 40см;95;
Шлиф круг под липучку 125мм 10шт;60;
Шлиф круг резин. с липучкой 125мм;40;
Шлиф-лента 75*533 120;116;
Шлифлист №10;91;
Шлифлист №20;100;
Шлифлист №32;106;
Шлифлист №4;91;
Шлифлист №50;107;
Шлифлист №6;91;
Шлифсетка;45;
Ножовки;;
"Ножовка по дереву ""Ермак"" 1В 500мм зуб 5мм заточ.";148;
Ножовка по дереву 350мм Ермак зуб 5мм;72;
"Ножовка по дереву ""Ермак"" 400мм зуб 4мм 663379";141;
"Ножовка по дереву ""Ермак"" 400мм зуб 5мм";75;
"Ножовка по дереву ""Ермак"" 400мм, зуб 8мм. 663846";123;
"Ножовка по дереву ""Ермак"" 450мм зуб 5мм";73;
Ножовка по дереву 500мм д/сырой древ. 663016;157;
Ножовка по дереву Ермак 500мм зуб 5мм заточ;148;
"Ножовка по дереву ""Ермак"" 500мм, зуб 8мм.";90,5;
"Ножовка по дереву ""Ермак"" ЗА 350мм зуб 8мм";89;
"Ножовка по дереву ""Ермак"" ЗА 400мм зуб 8мм 663848";85,5;
"Ножовка по дереву ""Ермак"" ЗА 500мм 8мм";105;
Ножовка по дереву 600мм 12мм;243;
Ножовка по дереву Ермак 500мм закал. зуб 663384;153;
Ножовка по дереву 300 мм зуб 4мм Ижсталь;84,5;
Ножовка по дереву 400 мм Ижсталь 4мм;121;
Ножовка по дереву Ижсталь с 3-мя полотнами;155;
Ножовка по металлу 400мм с желт. ручкой;71;
Ножовка по металлу мастер;127,5;
Ножовка по металлу профи+2 полотна;220;
Отвертки;;
Набор отверток 4пр Ермак 9991;152;
Набор отверток 5пр.;252;
Набор отверток 6пр. Ермак;253;
Набор отверток 6пр мини;71;
Набор отверток диэлектрических 3 пр.;75;
Набор отверток Ермак 4пр. 9986;142;
Набор отверток Ермак 4пр. 9988;145;
Набор отверток под ключ 6пр. 9985-3;273;
Набор отверток часовых 11пр;45;
Набор отверток часовых бол.;21,5;
Отвертка 1*150мм Matrix(-);26;
"Отвертка 2-х стор.""ЕРМАК"" 3х50";11;
"Отвертка 2-х стор.""ЕРМАК"" 5х65 /12*";16;
Отвертка 2-х сторон 6*38;15;
"Отвертка 2-х стор.""ЕРМАК"" 6х75 /12*";21;
Отвертка 3,0*75 мм Matrix (-);18;
Отвертка  5*125(-)/12*;14;
Отвертка 5*125(+)/12*;14;
Отвертка 5*150 бибер;30;
Отвертка 6 насадок в ручке магнитная;52;
Отвертка Ермак 4*75мм(-);27;
Отвертка Ермак 4*75мм(+);27;
Отвертка Ермак 4*100 мм (-);16;
Отвертка Ермак 5*100 (-);24;
Отвертка Ермак 5*100 (+);24;
Отвертка Ермак 5*150 (-);20;
Отвертка Ермак 5*150 (+);20;
Отвертка Ермак 5*200мм (+);22;
Отвертка Ермак 5*200мм(-)/12*;22;
Отвертка Ермак 6*100 (-);21;
Отвертка Ермак 6*100 (+);21;
Отвертка Ермак 6*150 (+);24,5;
Отвертка Ермак 6*150мм (-)/12*;24;
Отвертка Ермак 8*150 (+);32;
Отвертка Ермак 8*150мм (-);32;
Отвертка Ермак 8*200мм (-);29,5;
Отвертка Ермак комбинированная 6*150;48;
Отвертка многофункц. 23 пр.;170;
Отвертка под ключ 6*150мм;49;
Отвертка пробник 100-500В;12;
Отвертка-пробник 12-220В с жидкокристалл. дисплеем.;41;
Отвертка с набором бит 31пр;175;
Отвертка Т- образная;54;
Отвертка ударная;166,5;
Сверла;;
"Биты ""Matrix"" 6шт+магнитн. держатель";55;
Биты;75;
Биты №1;40;
Биты №2;35;
Биты Ермак 18пр 657008;252;
Бур Ермак 10*210мм;37;
Бур 10*250/310мм;40;
Бур 10*460;72;
Бур Ермак SDS-Plus D10x160мм;32,3;
Бур Ермак SDS-PLUS D10x260мм;48;
Бур 12*210мм;39,5;
Бур 12*600;118;
Бур 14*210мм;45;
Бур 14*260;52;
Бур 14*310 мм;61;
Бур 14*410мм;82;
Бур 16*400мм;145;
Бур 16*800;250;
Бур 18*600мм;159;
Бур 22*600;359;
Бур 4*110мм;18,2;
Бур 5*160мм;24;
Бур Ермак SDS-PLUS D6*160 мм;21,5;
Бур 6*210мм;29;
Бур 6*260мм;38;
Бур Ермак SDS-PLUS D 6*50/110мм;23;
Бур 8*110мм;23,15;
Бур Ермак SDS-PLUS D8*160мм.;25,5;
Бур 8*210мм;34;
Бур 8*260;34,5;
Бур матрикс 14*150мм;39;
Бур матрикс 6*210мм;38,7;
Бур матрикс 8*210мм;36,5;
Набор сверл 19пр;297;
Набор сверл 2-8;122;
Набор сверл нитридт. по металлу 3-4-5-6-8;91;
Набор сверл перьевых 6пр.;67;
Набор сверл по комбинир 4-5-6-8-10мм 5шт;85;
Набор сверл Форстнера 15-35мм;276;
Насадка д/кровельных саморезов 10мм;95;
Насадка д/кровельных саморезов 8мм;100;
Сверло по бет. 10*120мм;10,5;
Сверло по бет. 12х150 ЕРМАК;22,5;
Сверло по бет. 5*85мм Ермак;11;
Сверло по бет. 6*100 Ермак;11,5;
Сверло по бет. 6х200 мм ЕРМАК;17;
Сверло по бет. 8*120мм Ермак;21;
Сверло по бетону 12*150мм;82;
Сверло по бетону голден 12*150мм;51;
Сверло по бетону голден 4*75мм;15;
Сверло по бетону голден 5*85мм;18;
Сверло по бетону голден 8*120мм;30;
Сверло по дереву 28*152мм;25;
Сверло по керамике и стеклу 10мм;42,5;
Сверло по керамике и стеклу 4мм;37;
Сверло по керамике и стеклу 5мм;38;
Сверло по керамике и стеклу 6мм;32;
Сверло по керамике и стеклу 8мм;29;
Сверло по мет. 1,0мм/10*;41;
Сверло по мет. 1,5мм/10*;41;
Сверло по мет. 10мм;148;
Сверло по мет. 12мм/5*;199;
Сверло по мет. 2,0мм/10*;42;
Сверло по мет. 2,5мм/10*;50;
Сверло по мет. 3,0мм/10*;50;
Сверло по мет. 3,2мм/10*;55;
Сверло по мет. 3,8мм/10*;65;
Сверло по мет. 4,0мм/10*;65;
Сверло по мет. 4,2мм/10*;65;
Сверло по мет. 4,5мм/10*;76;
Сверло по мет. 4,8мм/10*;80;
Сверло по мет. 5,0мм/10*;85;
Сверло по мет. 5,5мм/10*;85;
Сверло по мет. 6,0мм/10*;100;
Сверло по мет. 6,5мм/10*;103;
Сверло по мет. 7,0мм/10*;120;
Сверло по мет. 7,5мм/10*;125;
Сверло по мет. 8,5мм/5*;90;
Сверло по мет. 9,0мм/5*;114;
Сверло по мет. 9,5мм/5*;118;
Сверло по металлу Ермак 1,5мм/10*;35;
"Сверло по металлу ""Ермак"" 10мм/5*";145;
Сверло по металлу Ермак 2,0мм/10*;40;
Сверло по металлу Ермак 2,5мм /10*;40;
"Сверло по металлу ""Ермак"" 3мм";50;
"Сверло по металлу ""Ермак"" 3,2мм /10*";50;
"Сверло по металлу ""Ермак"" 3,5мм/10*";55;
"Сверло по металлу ""Ермак"" 4,0мм /10*";60;
Сверло по металлу Ермак 4,2мм/10*;75;
"Сверло по металлу ""Ермак"" 5,0мм/10*";80;
"Сверло по металлу ""Ермак"" 6,0мм /10*";110;
"Сверло по металлу ""Ермак"" 6,5мм /10*";100;
"Сверло по металлу ""Ермак"" 7,0мм /10*";135;
"Сверло по металлу ""Ермак"" 7,5мм /10*";125;
Сверло по металлу Ермак  8мм/;60;
"Сверло по металлу ""Ермак"" 8,5мм /5*";82,5;
"Сверло по металлу ""Ермак"" 9мм/5*";107,5;
"Сверло по металлу ""Ермак"" 9,5мм /5*";80;
Инструмент;;
Вставка плавкая 10А/200*;2;
Гвозди декоративные усилен. медь;23,5;
Гвозди декоративные усилен.(бронза);23,5;
Гвозди декоративные усилен.(Золото);23,5;
Гвозди декоративные усилен.(Хром);23,5;
Гвоздодер 450*22*12;189;
Гвоздодер 600*16;142;
Гвоздодер 600*29*15;217;
Гвоздодер 750*30*16;526;
Гвоздодер 900*30*15мм;330;
Гвоздодер с синекрасной ручкой 43см;74;
Гвоздодер с синекрасной ручкой мал.;56;
Гвоздь строит. 2,0*40/25*;52;
Гвоздь строит. 2,5*50;40;
Гвоздь строит. 2,5*60;45;
Гвоздь строит. 3,0*70;39,5;
Гвоздь строит. 3,0*80;39,5;
Гвоздь строит. 3,5*90;37,5;
Гвоздь строит. 4,0*100;37,5;
Гвоздь строит. 4,0*120;37,5;
Гвоздь строит. 5,0*150;37,5;
Гвоздь строит. 6,0*200;37,5;
Гвоздь толевой 2,5*32;45;
Гвоздь шиферный 4,0*120;56;
Ермак Щетка с пластиковой ручкой 4 ряда;29;
Ермак Щетка с пластиковой ручкой 5 ряд.;27;
Ермак Щетка с пластиковой ручкой 6 ряд.;33,5;
Заклепочник 238 мм;137;
Заклепочник 250мм;150;
Заклепочник поворотный 360 градусов;241;
Заклепочник Ермак 425мм усилен. двуручный;251;
Зубило 210*60мм с протектором;90;
Зубило 250*20мм с протектором;62;
Зубило Ермак 14*400*20мм;72;
Изолента  х/б;14;
Изолента  х/б 100г.;17,5;
Изолента  х/б 200гр./60;41;
Изолента х/б 300гр/60* Барнаул;48;
Изолента  х/б 80г.(в упаковке);14,5;
Изолента  19мм 18м синяя;21;
Изолента 19мм 18м черная;21;
Изолента 19мм 9м синяя;9,5;
Изолента 5 цветов /10*;7;
Изолента TESA 20м синяя;26,5;
Изолента TESA 20м черная;26,5;
Изолента глобе зеленая;6;
Изолента глобе синяя;7;
Изолента глобе черная;7;
Изолента желтая /192*;5;
Изолента зеленая /192*;5;
Изолента красная/192*;5;
Изолента синяя /192*;5;
Изолента черная/192*;5;
Киянка 225мм белая 662012;70,5;
Киянка 450мм белая 662014;133;
Киянка рез. 225;57;
Киянка резин. 680г белая 662013;135;
Киянка резиновая 450мм;77,5;
Ключ балонный;195;
Ключ д/патрона 13мм;12,5;
"Ключ разводной 10"" с обрез. ручкой";162;
"Ключ разводной 12"" с обрез. ручкой";223;
"Ключ разводной 8"" с резин. ручкой";86,5;
Ключ разводной Ермак 150мм;82;
Ключ разводной Ермак 200мм;118;
Ключ разводной Ермак 250мм;161;
Ключ трубный 2 Сибртех;255;
Ключ-трубный 1 Сибртех;218;
Ключ-трубный 2 Сибртех литой;305;
Ключ-трубный №1 Сибртех литой;219;
Ключ-трубный КТР 0 Сибртех;181;
Ключ-трубный КТР 0 Сосновск;185;
Ключ-трубный КТР-1 Сосновск;219;
Ключ-трубный КТР-3;448;
"Колун ""MATRIX"" 2700гр. с фиберглассовой ручкой";830;
Колун 3000гр дерев. ручка;245;
Колун 3600г фибергл. ручка;920;
Коронка 80мм;315;
Краги сварщика брезент.;50;
Крестики 2,0мм;16;
Крестики 3,0мм;16;
Кувалда 2000 гр. пласт. ручка;251;
Кувалда Ермак 1000г дерев. ручка;133;
Кувалда Ермак 1000гр. пластик. ручка;176;
Кувалда Ермак 1500г пластик. ручка;207;
Кувалда Ермак 2000г дер. ручка;210;
Кусачки 160мм 661872;60,6;
Кусачки 200мм 661270;94,5;
Кусачки Ермак 160мм 661253;88,5;
Кусачки Ермак 180 мм 661193;86;
Кусачки Ермак 180мм двухцветн.;88;
Кусачки Ермак шлиф 200мм;75;
Кусачки торц. 200мм 661200;98;
Лезвия д/ножа 18мм;12;
Лобзик 300мм Спарта;87;
Маска сварщика Евро пластик 110*90;222;
Маска сварщика пластик стекло 110*90;145;
Маска сварщика фиброкартон;106;
Метр складной;126;
Молоток 300гр дер. ручка;42,5;
Молоток 400гр дер. ручка;73;
Молоток 500гр. дер. ручка;76;
Молоток 600г;94;
Молоток  800гр.;120,5;
Молоток Ермак 1000гр пласт. ручка;216;
Молоток Ермак 200гр. пласт. ручка;78;
Молоток Ермак 300гр пласт. ручка;119;
Молоток-гвоздодер 450гр. 27мм;87;
Набор головок 22пр;127;
Набор головок 8пр;199;
Набор головок 9 предм. 2809;158;
Набор головок и насадок 24пр 2027;93;
Набор д/врезки замков (19-127мм) 17пр;312;
Набор д/врезки замков 12пр.;175;
Набор для врезки замков 3пр;53;
Набор инструм. 80пр.;3450;
Набор инструм. 94пр.;2220;
Набор инструм. 95пр.;3150;
Набор инструментов 30пр;940;
Набор инструментов 35пр.;730;
Набор инструментов 8пр 657254;287;
